Local Government District,Electoral Ward (2014),Sale Year,No. of Verified Sales,Minimum Sale Price,Lower Quartile Sale Price,Median Sale Price,Simple Mean Sale Price,Upper Quartile Sale Price,Maximum Sale Price
Antrim and Newtownabbey,Abbey,2005,85,24920,74000,82000,93427,108901,220000
Antrim and Newtownabbey,Abbey,2006,120,45000,86000,111000,121329,138000,499000
Antrim and Newtownabbey,Abbey,2007,57,30000,159975,192500,221449,238458,660000
Antrim and Newtownabbey,Abbey,2008,31,.,.,.,.,.,.
Antrim and Newtownabbey,Abbey,2009,22,.,.,.,.,.,.
Antrim and Newtownabbey,Abbey,2010,41,.,.,.,.,.,.
Antrim and Newtownabbey,Abbey,2011,46,40000,65500,117000,115198,139500,270000
Antrim and Newtownabbey,Abbey,2012,44,28000,55000,74000,100307,135000,335000
Antrim and Newtownabbey,Abbey,2013,53,38500,52625,76000,93885,125000,249000
Antrim and Newtownabbey,Abbey,2014,42,36000,76000,109000,114093,137000,345000
Antrim and Newtownabbey,Abbey,2015,61,45000,67750,84125,111006,145323,256100
Antrim and Newtownabbey,Abbey,2016,72,48000,69950,102750,121948,152590,490000
Antrim and Newtownabbey,Abbey,2017,60,48000,67500,118000,121387,146000,360000
Antrim and Newtownabbey,Abbey,2018,68,53500,73000,98000,120654,152000,375000
Antrim and Newtownabbey,Aldergrove,2005,58,70000,125950,160000,173975,212500,395000
Antrim and Newtownabbey,Aldergrove,2006,75,30000,150000,180500,196248,230000,427500
Antrim and Newtownabbey,Aldergrove,2007,56,63000,165000,210349,242887,345000,450000
Antrim and Newtownabbey,Aldergrove,2008,25,.,.,.,.,.,.
Antrim and Newtownabbey,Aldergrove,2009,31,.,.,.,.,.,.
Antrim and Newtownabbey,Aldergrove,2010,18,.,.,.,.,.,.
Antrim and Newtownabbey,Aldergrove,2011,23,.,.,.,.,.,.
Antrim and Newtownabbey,Aldergrove,2012,20,.,.,.,.,.,.
Antrim and Newtownabbey,Aldergrove,2013,23,.,.,.,.,.,.
Antrim and Newtownabbey,Aldergrove,2014,40,82500,107000,147500,168625,220000,322000
Antrim and Newtownabbey,Aldergrove,2015,40,85000,119950,124975,146513,166500,350000
Antrim and Newtownabbey,Aldergrove,2016,35,85000,108000,141975,150942,175000,310000
Antrim and Newtownabbey,Aldergrove,2017,50,53000,114000,184950,185683,237440,375000
Antrim and Newtownabbey,Aldergrove,2018,44,55000,123000,157000,180665,234950,350000
Antrim and Newtownabbey,Antrim Centre,2005,95,37000,72000,88975,92199,112500,202500
Antrim and Newtownabbey,Antrim Centre,2006,120,42500,90000,112500,112743,130000,230000
Antrim and Newtownabbey,Antrim Centre,2007,66,50320,140000,160500,164897,190000,338455
Antrim and Newtownabbey,Antrim Centre,2008,38,55000,125000,140000,143843,179500,260000
